,Time,Flux
11651,1946.6182043736828,'5309.8247'
11652,1946.619593289153,'5300.774'
11653,1946.620982204624,'5304.0254'
11654,1946.6223711200369,'5293.569'
11655,1946.623760035507,'5295.042'
11656,1946.6251489509775,'5310.4683'
11657,1946.6265378663895,'5281.5596'
11658,1946.62792678186,'5316.474'
11659,1946.6293156973302,'5288.0044'
11660,1946.6307046128004,'5297.1133'
11661,1946.6320935282706,'5293.1816'
11662,1946.6334824436829,'5327.07'
11663,1946.6348713591533,'5318.663'
11664,1946.6362602746235,'5310.8374'
11665,1946.6376491900937,'5302.124'
11666,1946.639038105564,'5311.8423'
11667,1946.6404270210344,'5330.1787'
11668,1946.6418159365053,'5297.081'
11669,1946.6432048519764,'5306.1104'
11670,1946.6445937674466,'5317.2217'
11671,1946.6459826829168,'5303.7026'
11672,1946.6473715983873,'5301.9507'
11673,1946.6487605138575,'5286.534'
11674,1946.650149429328,'5309.033'
11675,1946.6515383447982,'5296.568'
11676,1946.6529272602693,'5303.5645'
11677,1946.6543161757402,'5305.077'
11678,1946.6557050912686,'5321.4043'
11679,1946.657094006739,'5320.02'
11680,1946.6584829222093,'5319.836'
11681,1946.6598718376795,'5300.5034'
11682,1946.6612607531497,'5324.448'
11683,1946.6626496686783,'5336.255'
11684,1946.6640385841492,'5323.408'
11685,1946.6654274996204,'5301.714'
11686,1946.6668164151488,'5319.16'
11687,1946.668205330619,'5316.9966'
11688,1946.6695942460894,'5321.901'
11689,1946.670983161618,'5323.707'
11690,1946.6723720770883,'5320.515'
11691,1946.6737609926167,'5320.6084'
11692,1946.6751499080879,'5311.9907'
11693,1946.676538823617,'5311.312'
11694,1946.6779277390874,'5319.6514'
11695,1946.6793166546158,'5338.336'
11696,1946.680705570086,'5321.1206'
11697,1946.6820944856145,'5320.7656'
11698,1946.683483401085,'5326.6753'
11699,1946.6848723166133,'5318.799'
11700,1946.6862612321424,'5316.019'
11701,1946.6876501476136,'5316.717'
11702,1946.689039063142,'5309.541'
11703,1946.6904279786706,'5319.262'
11704,1946.6918168941409,'5323.9272'
11705,1946.6932058096695,'5326.159'
11706,1946.694594725198,'5322.3438'
11707,1946.6959836407264,'5324.623'
11708,1946.6973725561975,'5325.087'
11709,1946.6987614717266,'5329.3877'
